index|name|length|gloss|char|word|postag
000000|S000000_P0000_T00|52|你们 好|你 们 好 ！|你们 好 ！|r a w
000001|S000000_P0004_T00|47|你们 好|你 们 好 ！|你们 好 ！|r a w
000002|S000000_P0008_T00|58|你们 好|你 们 好 ！|你们 好 ！|r a w
000003|S000001_P0000_T00|37|对不起|对 不 起 ！|对不起 ！|v w
000004|S000001_P0004_T00|33|对不起|对 不 起 ！|对不起 ！|v w
000005|S000001_P0008_T00|45|对不起|对 不 起 ！|对不起 ！|v w
000006|S000002_P0000_T00|29|没关系|没 关 系 ！|没关系 ！|l w
000007|S000002_P0004_T00|35|没关系|没 关 系 ！|没关系 ！|l w
000008|S000002_P0008_T00|49|没关系|没 关 系 ！|没关系 ！|l w
000009|S000003_P0000_T00|30|谢谢|谢 谢 ！|谢谢 ！|v w
000010|S000003_P0004_T00|32|谢谢|谢 谢 ！|谢谢 ！|v w
000011|S000003_P0008_T00|35|谢谢|谢 谢 ！|谢谢 ！|v w
000012|S000004_P0000_T00|51|礼貌 不|不 客 气 ！|不 客气 ！|d a w
000013|S000004_P0004_T00|41|礼貌 不|不 客 气 ！|不 客气 ！|d a w
000014|S000004_P0008_T00|67|礼貌 不|不 客 气 ！|不 客气 ！|d a w
000015|S000005_P0000_T00|62|你 名字 什么|你 叫 什 么 名 字 ？|你 叫 什么 名字 ？|r v r n w
000016|S000005_P0008_T00|80|你 名字 什么|你 叫 什 么 名 字 ？|你 叫 什么 名字 ？|r v r n w
000017|S000006_P0000_T00|57|我 名字 孩子|我 叫 童 童 。|我 叫 童童 。|r v nr w
000018|S000006_P0004_T00|65|我 名字 孩子|我 叫 童 童 。|我 叫 童童 。|r v nr w
000019|S000006_P0008_T00|98|我 名字 孩子|我 叫 童 童 。|我 叫 童童 。|r v nr w
000020|S000007_P0000_T00|29|他 谁|他 是 谁 ？|他 是 谁 ？|r v v w
000021|S000007_P0003_T00|55|他 谁|他 是 谁 ？|他 是 谁 ？|r v v w
000022|S000007_P0004_T00|38|他 谁|他 是 谁 ？|他 是 谁 ？|r v v w
000023|S000007_P0008_T00|51|他 谁|他 是 谁 ？|他 是 谁 ？|r v v w
000024|S000008_P0000_T00|58|他 我 手语 老师|他 是 我 的 手 语 老 师 。|他 是 我 的 手语 老师 。|r v r u n n w
000025|S000008_P0004_T00|56|他 我 手语 老师|他 是 我 的 手 语 老 师 。|他 是 我 的 手语 老师 。|r v r u n n w
000026|S000009_P0000_T00|45|你 老师 是|你 是 老 师 吗 ？|你 是 老师 吗 ？|r v n y w
000027|S000009_P0008_T00|72|你 老师 是|你 是 老 师 吗 ？|你 是 老师 吗 ？|r v n y w
000028|S000010_P0000_T00|119|我 老师 不是 学生 是|我 不 是 老 师 ， 我 是 学 生 。|我 不是 老师 ， 我 是 学生 。|r c n w r v n w
000029|S000010_P0004_T00|95|我 老师 不是 学生 是|我 不 是 老 师 ， 我 是 学 生 。|我 不是 老师 ， 我 是 学生 。|r c n w r v n w
000030|S000010_P0008_T00|152|我 老师 不是 学生 是|我 不 是 老 师 ， 我 是 学 生 。|我 不是 老师 ， 我 是 学生 。|r c n w r v n w
000031|S000011_P0000_T00|33|你 花 什么|你 是 哪 里 人 ？|你 是 哪里 人 ？|r v r n w
000032|S000011_P0004_T00|37|你 花 什么|你 是 哪 里 人 ？|你 是 哪里 人 ？|r v r n w
000033|S000011_P0008_T00|51|你 花 什么|你 是 哪 里 人 ？|你 是 哪里 人 ？|r v r n w
000034|S000012_P0000_T00|48|我 上海 人|我 是 上 海 人 。|我 是 上海人 。|r v n w
000035|S000012_P0004_T00|44|我 上海 人|我 是 上 海 人 。|我 是 上海人 。|r v n w
000036|S000012_P0008_T00|86|我 上海 人|我 是 上 海 人 。|我 是 上海人 。|r v n w
000037|S000013_P0000_T00|24|他 谁|他 是 谁 ？|他 是 谁 ？|r v v w
000038|S000013_P0004_T00|31|他 谁|他 是 谁 ？|他 是 谁 ？|r v v w
000039|S000013_P0008_T00|36|他 谁|他 是 谁 ？|他 是 谁 ？|r v v w
000040|S000014_P0000_T00|49|他 我 同学|他 是 我 的 同 学 。|他 是 我 的 同学 。|r v r u n w
000041|S000014_P0004_T00|45|他 我 同学|他 是 我 的 同 学 。|他 是 我 的 同学 。|r v r u n w
000042|S000014_P0008_T00|73|他 我 同学|他 是 我 的 同 学 。|他 是 我 的 同学 。|r v r u n w
000043|S000015_P0000_T00|54|他 你 同学 是|他 是 你 同 学 吗 ？|他 是 你 同学 吗 ？|r v r n y w
000044|S000015_P0004_T00|55|他 你 同学 是|他 是 你 同 学 吗 ？|他 是 你 同学 吗 ？|r v r n y w
